sample_name	alias	group	platform	purity	panel
E-P14-Run2V3-Pos20-Rep1-T8	ctDNA	E-P14-Run2V3-Pos20-Rep1-T8	ILLUMINA	1	
E-P14-Run2V2-Pos8-Rep1-T1	ctDNA	E-P14-Run2V2-Pos8-Rep1-T1	ILLUMINA	1	
E-P14-Run2V2-Pos9-Rep1-T2	ctDNA	E-P14-Run2V2-Pos9-Rep1-T2	ILLUMINA	1	
E-P14-Run6V2-Pos5-Rep1-T3	ctDNA	E-P14-Run6V2-Pos5-Rep1-T3	ILLUMINA	1	
E-P14-Run6V2-Pos6-Rep1-T5	ctDNA	E-P14-Run6V2-Pos6-Rep1-T5	ILLUMINA	1	
E-P15-Run1V3-Pos8-Rep1-T1	ctDNA	E-P15-Run1V3-Pos8-Rep1-T1	ILLUMINA	1	
E-P16-Run1V3-Pos9-Rep3-T1	ctDNA	E-P16-Run1V3-Pos9-Rep3-T1	ILLUMINA	1	
E-P16-Run7V2-Pos19-Rep1-T1	ctDNA	E-P16-Run7V2-Pos19-Rep1-T1	ILLUMINA	1	
E-P16-Run7V2-Pos20-Rep2-T1	ctDNA	E-P16-Run7V2-Pos20-Rep2-T1	ILLUMINA	1	
E-P17-Run1V3-Pos21-Rep1-T2	ctDNA	E-P17-Run1V3-Pos21-Rep1-T2	ILLUMINA	1	
E-P17-Run1V3-Pos22-Rep1-T3	ctDNA	E-P17-Run1V3-Pos22-Rep1-T3	ILLUMINA	1	
E-P17-Run1V3-Pos23-Rep1-T4	ctDNA	E-P17-Run1V3-Pos23-Rep1-T4	ILLUMINA	1	
E-P17-Run1V3-Pos24-Rep2-T5	ctDNA	E-P17-Run1V3-Pos24-Rep2-T5	ILLUMINA	1	
E-P17-Run1V2-Pos6-Rep1-T1	ctDNA	E-P17-Run1V2-Pos6-Rep1-T1	ILLUMINA	1	
E-P17-Run2V2-Pos2-Rep1-T5	ctDNA	E-P17-Run2V2-Pos2-Rep1-T5	ILLUMINA	1	
E-P18-Run1V2-Pos7-Rep1-T1	ctDNA	E-P18-Run1V2-Pos7-Rep1-T1	ILLUMINA	1	
E-P18-Run2V2-Pos3-Rep1-T2	ctDNA	E-P18-Run2V2-Pos3-Rep1-T2	ILLUMINA	1	
E-P18-Run1V3-Pos3-Rep1-T1	ctDNA	E-P18-Run1V3-Pos3-Rep1-T1	ILLUMINA	1	
E-P19-Run1V2-Pos8-Rep1-T1	ctDNA	E-P19-Run1V2-Pos8-Rep1-T1	ILLUMINA	1	
E-P20-Run1V3-Pos3-Rep1-T1	ctDNA	E-P20-Run1V3-Pos3-Rep1-T1	ILLUMINA	1	
